[10:27:52.187] rx_pdu = self._req_pdu(tx_pdu=tx_pdu, rx_min_len=3)
[10:27:52.187] ^
[10:27:52.188] ^
[10:27:52.188] ^
[10:27:52.189] ^
[10:27:52.189] ^
[10:27:52.189] ^
[10:27:52.189] ^
[10:27:52.191] ^
[10:27:52.191] ^
[10:27:52.191] ^
[10:27:52.191] ^
[10:27:52.192] ^
[10:27:52.192] ^
[10:27:52.192] ^
[10:27:52.193] ^
[10:27:52.193] ^
[10:27:52.193] ^
[10:27:52.194] ^
[10:27:52.194] ^
[10:27:52.194] ^
[10:27:52.195] ^
[10:27:52.195] ^
[10:27:52.195] ^
[10:27:52.195] ^
[10:27:52.196] ^
[10:27:52.196] ^
[10:27:52.196] ^
[10:27:52.197] ^
[10:27:52.197] ^
[10:27:52.197] ^
[10:27:52.198] ^
[10:27:52.198] ^
[10:27:52.198] ^
[10:27:52.199] ^
[10:27:52.199] ^
[10:27:52.200] ^
[10:27:52.200] ^
[10:27:52.200] ^
[10:27:52.201] ^
[10:27:52.201] ^
[10:27:52.201] ^
[10:27:52.202] ^
[10:27:52.202] File "C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\pyModbusTCP\client.py", line 910, in _req_pdu
[10:27:52.202] self._send_pdu(tx_pdu)
[10:27:52.202] File "C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\pyModbusTCP\client.py", line 794, in _send_pdu
[10:27:52.204] self._open()
[10:27:52.204] File "C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\pyModbusTCP\client.py", line 315, in _open
[10:27:52.205] self._sock.close()
[10:27:52.205] File "C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\socket.py", line 499, in close
[10:27:52.205] def close(self):
[10:27:52.205] KeyboardInterrupt
[10:27:52.207] Error sending command: timed out
